## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Pulsed
Date	2024-03-03
Time	04:20:21
Temperature	21.33
Note	

[Acquisition Settings]
Amplitude (V)	2.500
Frequency (Hz)	1.2
DC Offset (V)	1.250
Duty Cycle (%)	40
Phase (°)	0
Cycles	2

## Data ##
Time (s)	DC Channel Voltage (V)	DC Channel Current (A)	Pulse Channel Voltage (V)	Pulse Channel Current (A)
1.53354E-1	2.48796E+0	1.30263E-5	9.99969E-1	1.57567E-9
1.54010E-1	2.48863E+0	1.05361E-5	9.99929E-1	2.67818E-9
1.54665E-1	2.49065E+0	1.56476E-5	1.00007E+0	1.03750E-9
1.55320E-1	2.49065E+0	1.49923E-5	9.99872E-1	1.56474E-9
1.55976E-1	2.48998E+0	-3.74982E-6	1.00016E+0	2.86597E-9
1.56631E-1	2.49132E+0	6.47313E-6	9.99883E-1	1.30373E-9
1.57286E-1	2.48998E+0	1.14535E-5	1.00006E+0	1.80911E-9
1.57942E-1	2.49065E+0	5.68675E-6	9.99957E-1	1.54287E-9
1.58597E-1	2.48998E+0	1.04050E-5	1.00004E+0	2.65013E-9
1.59252E-1	2.49267E+0	1.23710E-5	1.00002E+0	2.20722E-10
1.59908E-1	2.48930E+0	3.19654E-6	9.99978E-1	2.51416E-9
1.60563E-1	2.49132E+0	9.09440E-6	1.00006E+0	2.32541E-9
1.61219E-1	2.48930E+0	1.94484E-5	9.99938E-1	1.41926E-9
1.61874E-1	2.48796E+0	7.91483E-6	1.00008E+0	2.28310E-9
1.62529E-1	2.48863E+0	9.48759E-6	9.99906E-1	1.93700E-9
1.63185E-1	2.48796E+0	7.91483E-6	9.99988E-1	1.72163E-9
1.63840E-1	2.49199E+0	1.43369E-5	9.99988E-1	2.35156E-9
1.64495E-1	2.49065E+0	1.15846E-5	1.00006E+0	1.77583E-9
1.65151E-1	2.48796E+0	8.96334E-6	9.99929E-1	9.43839E-10
1.65806E-1	2.48863E+0	2.28561E-5	1.00009E+0	1.94983E-9
1.66461E-1	2.49065E+0	1.14535E-5	9.99992E-1	1.60895E-9
1.67117E-1	2.48930E+0	4.90037E-6	9.99967E-1	1.48154E-9
1.67772E-1	2.49132E+0	9.88078E-6	9.99984E-1	1.71307E-9
1.68428E-1	2.48998E+0	9.09440E-6	1.00005E+0	2.30925E-9
1.69083E-1	2.49334E+0	8.37401E-7	9.99969E-1	2.37438E-9
1.69738E-1	2.49065E+0	1.27642E-5	9.99963E-1	1.18773E-9
1.70394E-1	2.49132E+0	1.06672E-5	1.00006E+0	9.46216E-10
1.71049E-1	2.49401E+0	2.27250E-5	9.99976E-1	2.46186E-9
1.71704E-1	2.49132E+0	1.21089E-5	1.00009E+0	2.31068E-9
1.72360E-1	2.49334E+0	7.39058E-6	9.99931E-1	1.50198E-9
1.73015E-1	2.48729E+0	1.13225E-5	1.00003E+0	1.80340E-9
1.73670E-1	2.49132E+0	8.04589E-6	9.99887E-1	2.07392E-9
1.74326E-1	2.48796E+0	1.00118E-5	1.00013E+0	9.85200E-10
1.74981E-1	2.48930E+0	1.13225E-5	9.99935E-1	3.06422E-9
1.75636E-1	2.48998E+0	1.76135E-5	1.00002E+0	1.67884E-9
1.76292E-1	2.48930E+0	1.01429E-5	9.99997E-1	8.61591E-10
1.76947E-1	2.49065E+0	8.70121E-6	1.00008E+0	2.21417E-9
1.77603E-1	2.49334E+0	1.69582E-5	9.99927E-1	1.51435E-9
1.78258E-1	2.49267E+0	9.74972E-6	9.99954E-1	2.90733E-9
1.78913E-1	2.49132E+0	6.34207E-6	9.99992E-1	7.68408E-10
1.79569E-1	2.49065E+0	1.80067E-5	1.00004E+0	2.49609E-9
1.80224E-1	2.48930E+0	1.26331E-5	9.99995E-1	2.05442E-9
1.80879E-1	2.48998E+0	9.22547E-6	1.00001E+0	4.50826E-10
1.81535E-1	2.49132E+0	9.09440E-6	1.00002E+0	3.16834E-9
1.82190E-1	2.49065E+0	8.83228E-6	9.99967E-1	9.81397E-10
1.82845E-1	2.49267E+0	1.07982E-5	1.00001E+0	2.42002E-9
1.83501E-1	2.49065E+0	1.11914E-5	1.00004E+0	1.78106E-9
